datetime,busvoltage
2001:02:19 15:00:00 ,32.64309416
2001:02:19 18:00:00 ,32.59692445
2001:02:19 21:00:00 ,32.55331639
2001:02:20 00:00:00 ,32.62004646
2001:02:20 03:00:00 ,32.6467775
2001:02:20 06:00:00 ,32.55494416
2001:02:20 09:00:00 ,32.59685918
2001:02:20 12:00:00 ,32.65037194
2001:02:20 15:00:00 ,32.5527281
2001:02:20 18:00:00 ,32.57633861
2001:02:20 21:00:00 ,32.63516491
2001:02:21 00:00:00 ,32.61133413
2001:02:21 03:00:00 ,32.53494416
2001:02:21 06:00:00 ,32.60354938
2001:02:21 09:00:00 ,32.59496083
2001:02:21 12:00:00 ,32.57178836
2001:02:21 15:00:00 ,32.63213861
2001:02:21 18:00:00 ,32.56718861
2001:02:21 21:00:00 ,32.57761406
2001:02:22 00:00:00 ,32.63858305
2001:02:22 03:00:00 ,32.55063133
2001:02:22 06:00:00 ,32.60855527
2001:02:22 09:00:00 ,32.64388992
2001:02:22 12:00:00 ,32.53973861
2001:02:22 15:00:00 ,32.61037214
2001:02:22 18:00:00 ,32.63216973
2001:02:22 21:00:00 ,32.56902194
2001:02:23 00:00:00 ,32.60953883
2001:02:23 03:00:00 ,32.59479416
2001:02:23 06:00:00 ,32.57071639
2001:02:23 09:00:00 ,32.64147856
2001:02:23 12:00:00 ,32.56566083
2001:02:23 15:00:00 ,32.57179411
2001:02:23 18:00:00 ,32.64641083
2001:02:23 21:00:00 ,32.56231281
2001:02:24 00:00:00 ,32.60083861
2001:02:24 03:00:00 ,32.64626638
2001:02:24 06:00:00 ,32.56021106
2001:02:24 09:00:00 ,32.61233305
2001:02:24 12:00:00 ,32.63676485
2001:02:24 15:00:00 ,32.56010571
2001:02:24 18:00:00 ,32.61693226
2001:02:24 21:00:00 ,32.60303225
2001:02:25 00:00:00 ,32.56336335
2001:02:25 03:00:00 ,32.63818917
2001:02:25 06:00:00 ,32.5746275
2001:02:25 09:00:00 ,32.59091943
2001:02:25 12:00:00 ,32.65284416
2001:02:25 15:00:00 ,32.55621639
2001:02:25 18:00:00 ,32.59589303
2001:02:25 21:00:00 ,32.64681638
2001:02:26 00:00:00 ,32.54832712
2001:02:26 03:00:00 ,32.61406638
2001:02:26 06:00:00 ,32.62556331
2001:02:26 09:00:00 ,32.56515527
2001:02:26 12:00:00 ,32.63285527
2001:02:26 15:00:00 ,32.5905123
2001:02:26 18:00:00 ,32.56349416
2001:02:26 21:00:00 ,32.65337588
2001:02:27 00:00:00 ,32.57646083
2001:02:27 03:00:00 ,32.58962194
2001:02:27 06:00:00 ,32.65925003
2001:02:27 09:00:00 ,32.55470225
2001:02:27 12:00:00 ,32.60441492
2001:02:27 15:00:00 ,32.64166621
2001:02:27 18:00:00 ,32.53920939
2001:02:27 21:00:00 ,32.61288381
2001:02:28 00:00:00 ,32.62070989
2001:02:28 03:00:00 ,32.55539974
2001:02:28 06:00:00 ,32.63073048
2001:02:28 09:00:00 ,32.57797922
2001:02:28 12:00:00 ,32.55748246
2001:02:28 15:00:00 ,32.61224792
2001:02:28 18:00:00 ,32.55506788
2001:02:28 21:00:00 ,32.63749952
2001:03:01 00:00:00 ,32.56338479
2001:03:01 03:00:00 ,32.62816527
2001:03:01 06:00:00 ,32.5873747
2001:03:01 09:00:00 ,32.59663168
2001:03:01 12:00:00 ,32.59787692
2001:03:01 15:00:00 ,32.57086305
2001:03:01 18:00:00 ,32.62050431
2001:03:01 21:00:00 ,32.55518973
2001:03:02 00:00:00 ,32.64319353
2001:03:02 03:00:00 ,32.56044489
2001:03:02 06:00:00 ,32.63438445
2001:03:02 09:00:00 ,32.58103215
2001:03:02 12:00:00 ,32.62645784
2001:03:02 15:00:00 ,32.61228125
2001:03:02 18:00:00 ,32.59380284
2001:03:02 21:00:00 ,32.6371262
2001:03:03 00:00:00 ,32.5795603
2001:03:03 03:00:00 ,32.65842261
2001:03:03 06:00:00 ,32.57426644
2001:03:03 09:00:00 ,32.64325302
2001:03:03 12:00:00 ,32.58938916
2001:03:03 15:00:00 ,32.61753608
2001:03:03 18:00:00 ,32.62023165
2001:03:03 21:00:00 ,32.6041241
2001:03:04 00:00:00 ,32.64147151
2001:03:04 03:00:00 ,32.59037541
2001:03:04 06:00:00 ,32.66774609
2001:03:04 09:00:00 ,32.57790833
2001:03:04 12:00:00 ,32.65168
2001:03:04 15:00:00 ,32.58900415
2001:03:04 18:00:00 ,32.62271899
2001:03:04 21:00:00 ,32.60598405
2001:03:05 00:00:00 ,32.59873596
2001:03:05 03:00:00 ,32.62619146
2001:03:05 06:00:00 ,32.60180084
2001:03:05 09:00:00 ,32.64481612
2001:03:05 12:00:00 ,32.56917192
2001:03:05 15:00:00 ,32.65211083
2001:03:05 18:00:00 ,32.57895695
2001:03:05 21:00:00 ,32.62912855
2001:03:06 00:00:00 ,32.60499517
2001:03:06 03:00:00 ,32.60075662
2001:03:06 06:00:00 ,32.61961586
2001:03:06 09:00:00 ,32.58555596
2001:03:06 12:00:00 ,32.63863456
2001:03:06 15:00:00 ,32.56504108
2001:03:06 18:00:00 ,32.63665776
2001:03:06 21:00:00 ,32.57503001
2001:03:07 00:00:00 ,32.62789699
2001:03:07 03:00:00 ,32.60072981
2001:03:07 06:00:00 ,32.61538898
2001:03:07 09:00:00 ,32.61484706
2001:03:07 12:00:00 ,32.58764026
2001:03:07 15:00:00 ,32.61401298
2001:03:07 18:00:00 ,32.52848861
2001:03:07 21:00:00 ,32.64249354
2001:03:08 00:00:00 ,32.56586005
2001:03:08 03:00:00 ,32.64108941
2001:03:08 06:00:00 ,32.57420286
2001:03:08 09:00:00 ,32.59414677
2001:03:08 12:00:00 ,32.60179552
2001:03:08 15:00:00 ,32.60812885
2001:03:08 18:00:00 ,32.59973929
2001:03:08 21:00:00 ,32.63508305
2001:03:09 00:00:00 ,32.5566071
2001:03:09 03:00:00 ,32.57826075
2001:03:09 06:00:00 ,32.59914416
2001:03:09 09:00:00 ,32.55763957
2001:03:09 12:00:00 ,32.61815288
2001:03:09 15:00:00 ,32.53102614
2001:03:09 18:00:00 ,32.64566915
2001:03:09 21:00:00 ,32.56027796
2001:03:10 00:00:00 ,32.63901785
2001:03:10 03:00:00 ,32.58580989
2001:03:10 06:00:00 ,32.63019054
2001:03:10 09:00:00 ,32.61093599
2001:03:10 12:00:00 ,32.60614972
2001:03:10 15:00:00 ,32.63574143
2001:03:10 18:00:00 ,32.5918275
2001:03:10 21:00:00 ,32.63095896
2001:03:11 00:00:00 ,32.60970364
2001:03:11 03:00:00 ,32.64276774
2001:03:11 06:00:00 ,32.61176619
2001:03:11 09:00:00 ,32.64884416
2001:03:11 12:00:00 ,32.61064708
2001:03:11 15:00:00 ,32.6135275
2001:03:11 18:00:00 ,32.64026769
2001:03:11 21:00:00 ,32.58128996
